ID,PublishedAt,Duration
F9ZRztlPUIs,2023-06-03T10:00:16Z,PT1M
_23OMGZUqUI,2023-06-01T10:00:33Z,PT56S
kjZBJIqfxjg,2023-05-26T10:00:38Z,PT58S
VWIWdpDezgc,2023-05-23T10:00:31Z,PT9M3S
S30JwaDcbeg,2023-05-19T10:00:18Z,PT59S
2Wlx7kVklG4,2023-05-13T10:00:02Z,PT59S
nf8lbRbMMTo,2023-05-08T10:00:39Z,PT8M58S
ztVG-4u0xnI,2023-04-28T10:00:45Z,PT59S
3dNuxWOsLDo,2023-04-24T10:00:02Z,PT8M11S
Ba3tuz0KlKM,2023-04-20T10:00:14Z,PT1M
9SMy9Cb7Q4s,2023-04-13T10:00:06Z,PT58S
Gml5kZAQ8aY,2023-04-10T10:00:12Z,PT1M
lTdb7UogGGQ,2023-04-08T10:00:37Z,PT3M39S
nAb8cNjg6Ho,2023-04-03T10:00:28Z,PT1M
TXhbHB4lSp4,2023-03-31T10:00:19Z,PT8M14S
_4rw1v9UmPQ,2023-03-26T10:00:19Z,PT59S
Tl45-5E1Y8A,2023-03-23T10:00:18Z,PT8M17S
rk7TbKA7i-w,2023-03-04T10:00:37Z,PT3M23S
r3JK_E8oX8s,2023-02-25T10:00:24Z,PT9M21S
682DVQVghCM,2023-02-13T10:00:05Z,PT1M
ZjmTstPkEjY,2023-02-09T10:00:15Z,PT3M30S
jzqGGeUB9YM,2023-02-06T10:00:32Z,PT3M40S
6FRafWIhZiA,2023-02-03T10:00:02Z,PT1M
VS2OLokkW-0,2023-02-01T10:00:13Z,PT3M46S
QsO5yc807Ck,2023-01-30T10:00:12Z,PT8M45S
sfzjY9PNBmY,2023-01-25T10:00:35Z,PT1M
0dC4V-MTrbU,2023-01-19T10:00:00Z,PT3M52S
dftCEd78nQk,2023-01-14T10:00:30Z,PT3M8S
BaIYJIx138s,2023-01-12T10:00:08Z,PT59S
-ifJbN-MMqE,2023-01-08T10:00:00Z,PT3M19S
o0_BZFuqds4,2023-01-04T10:00:22Z,PT3M14S
SUIqGg1gSPY,2023-01-02T10:00:13Z,PT59S
tOOHj_gj6-g,2022-12-30T10:45:04Z,PT3M40S
TSpMzCOH9Pk,2022-12-19T10:00:11Z,PT3M26S
Q8GkWt599Q4,2022-12-16T10:00:23Z,PT53S
FJ9oT8hW318,2022-12-09T10:00:07Z,PT3M31S
cjqh3NBgIg4,2022-11-27T10:00:31Z,PT8M43S
tT5QtVnhPWo,2022-11-16T10:00:35Z,PT56S
CQJomuKqeUg,2022-11-14T10:00:14Z,PT3M30S
tBFJE5QJljk,2022-11-11T10:00:43Z,PT3M23S
3dFks4MqbW8,2022-11-09T10:00:02Z,PT1M
pTi8_uEVw1s,2022-11-07T10:00:25Z,PT3M16S
IMPimxbpyoU,2022-10-31T10:00:11Z,PT56S
FavrBub0xRM,2022-10-26T10:00:09Z,PT54S
WHnj-m4mfrw,2022-10-21T10:00:34Z,PT3M23S
TLYHySu-qGE,2022-10-19T10:00:22Z,PT58S
jHUYIahKYpA,2022-10-14T10:00:23Z,PT3M16S
0mldmnLlbd0,2022-10-10T10:00:02Z,PT8M46S
vLhvi-Ewuh4,2022-10-03T10:00:29Z,PT3M22S
0Xe1jxM_i5Y,2022-09-30T10:00:00Z,PT8M4S
gJkuJx6pRCE,2022-09-28T10:00:22Z,PT58S
oFMJ9SKIAkY,2022-09-26T10:00:26Z,PT3M18S
